['21. тур', 'CD Morón', '2:1', 'Agropecuario', '32.46', '31.44', '36.11', '2023-06-18']
['21. тур', 'CA Alvarado', '2:0', 'Club Flandria', '38.58', '31.10', '30.32', '2023-06-18']
['21. тур', 'Патронато', '1:0', 'CADU (Zarate)', '36.80', '30.76', '32.44', '2023-06-18']
['21. тур', 'Def. Belgrano', '2:0', 'CA San Telmo', '43.63', '29.37', '27.00', '2023-06-18']
['21. тур', 'GyE Mendoza', '2:0', 'San Martín', '39.10', '28.88', '32.02', '2023-06-18']
['18. тур', 'CA Mitre', '3:1', 'Villa Dálmine', '56.61', '25.15', '18.24', '2023-06-18']
['21. тур', 'CA Güemes', '1:1', 'Guillermo Brown', '34.99', '26.04', '38.98', '2023-06-18']
['18. тур', 'Ferro', '3:0', 'Gimnasia (J)', '20.56', '27.50', '51.95', '2023-06-18']
['11. тур', 'Альянса УДУ', '2:0', 'Juan Aurich', '55.98', '24.22', '19.80', '2023-06-18']
['19. тур', 'Ди Си Юнайтед', '1:2', 'Солт-Лейк', '43.12', '24.25', '32.63', '2023-06-18']
['19. тур', 'Нью-Инглэнд', '3:1', 'Орландо', '39.35', '24.72', '35.93', '2023-06-18']
['19. тур', 'Канзас-Сити', '1:2', 'Лос-Анджелес', '8.92', '18.62', '72.46', '2023-06-18']
['19. тур', 'Нэшвилл', '3:1', 'Сент-Луис Сити', '49.64', '28.15', '22.21', '2023-06-18']
['19. тур', 'Сан-Хосе', '0:0', 'Портленд', '37.72', '27.82', '34.46', '2023-06-18']
['12. тур', 'ЛА Форс', '2:1', 'Мэриленд', '41.29', '28.74', '29.97', '2023-06-18']
['21. тур', 'Ренофа Ямагути', '2:0', 'Вегалта Сендай', '28.35', '29.16', '42.49', '2023-06-18']
['21. тур', 'Иваки ФК', '0:0', 'ДЖЕФ Юн. Тиба', '27.93', '28.18', '43.89', '2023-06-18']
['21. тур', 'Точиги СК', '1:1', 'Матида Зельвия', '27.67', '13.84', '58.49', '2023-06-18']
['21. тур', 'Токио Верди', '2:2', 'Зеспаку. Гумма', '49.52', '28.77', '21.71', '2023-06-18']
['14. тур', 'Ванр. Хачинохе', '0:3', 'Фукусима Юн.', '36.85', '26.47', '36.68', '2023-06-18']
['14. тур', 'Нагано Парсейро', '1:2', 'Кагосима Юн.', '30.22', '20.43', '49.35', '2023-06-18']
['14. тур', 'а. кл. Нумазу', '3:1', 'Йокогама СКК', '29.00', '22.54', '48.46', '2023-06-18']
['14. тур', 'ФК Осака', '3:0', 'ФК Рюкю', '31.21', '25.29', '43.50', '2023-06-18']
['14. тур', 'ФК Гифу', '2:1', 'СК Сагамихара', '61.31', '23.86', '14.83', '2023-06-18']
['12. тур', 'Мусасино Ютд', '0:0', 'РеинМеер Аомори', '36.13', '28.35', '35.52', '2023-06-18']
['12. тур', 'Сузука ПГ', '1:0', 'Кочи Юн.', '42.77', '29.61', '27.61', '2023-06-18']
['групповой этап', 'Х. К. Саппоро', '2:3', 'Джубило Ивата', '30.29', '22.39', '47.31', '2023-06-18']
